name,coverage length,retreat length,advance length,total length,overlap rate,number of return,time
scenario1\map_1.txt,843.8284271247462,153.367532368147,124.367532368147,1121.5634918610417,1.6867469879518149,5,3.1714630126953125
scenario1\map_2.txt,807.6568542494924,140.95331880577396,109.88225099390846,1058.4924240491762,4.935064935064926,5,2.9080429077148438
scenario1\map_3.txt,705.8994949366117,161.50966799187802,130.43860018001251,997.8477631085038,4.1358936484490405,5,2.6112418174743652
scenario1\map_4.txt,644.2132034355966,125.53910524340085,84.49747468305827,854.2497833620569,8.998302207130738,4,2.173708438873291
scenario1\map_5.txt,580.5269119345813,104.0832611206852,73.01219330881972,757.622366364087,10.748560460652602,4,1.9243967533111572

scenario2\map_1.txt,679.3847763108504,88.38477631085024,59.38477631085024,827.1543289325512,3.053435114503822,4,2.2735629081726074
scenario2\map_2.txt,715.7817459305209,157.99494936611674,112.29646455628156,986.0731598529204,6.259541984732819,5,2.529742956161499
scenario2\map_3.txt,705.2132034355966,173.9533188057742,127.66904755831207,1006.8355697996838,7.175572519083961,5,2.5475645065307617
scenario2\map_4.txt,721.6518036156099,138.32590180780443,109.32590180780446,969.3036072312198,5.801526717557248,5,2.4543378353118896

scenario3\map_1.txt,1176.5807358037443,327.83556979968336,288.592929112564,1793.0092347159923,5.484460694698345,8,7.521782398223877
scenario3\map_1.txt,1186.7523086789981,174.78174593052037,138.39696961966993,1499.9310242291895,6.489945155393051,7,6.8317179679870605
scenario3\map_1.txt,1173.9238815542517,348.9066376115488,291.4507934888329,1814.2813126546343,5.484460694698345,8,7.470247268676758
scenario3\map_1.txt,1178.6518036156097,157.5979797464467,135.94112549695427,1472.1909088590112,5.484460694698345,7,6.723438501358032
scenario3\map_1.txt,1195.6518036156097,131.25483399593898,104.35533905932733,1431.2619766708767,7.038391224862894,7,6.630325078964233
scenario3\map_1.txt,1181.1370849898483,249.33809511662457,247.33809511662452,1677.8132752230983,5.484460694698345,8,7.488115072250366
scenario3\map_1.txt,1170.6812408671326,352.9066376115486,296.1076477383251,1819.6955262170077,5.118829981718465,8,7.477729558944702

scenario4\map_1.txt,1180.5807358037443,613.4457428549504,574.203102167831,2368.229580826518,5.850091407678248,18,9.024170398712158
scenario4\map_1.txt,1180.5807358037443,306.26702730475915,267.0243866176397,1753.872149726144,5.850091407678248,8,7.4458537101745605
scenario4\map_1.txt,1180.5807358037443,178.9827560572969,139.74011537017756,1499.3036072312198,5.850091407678248,5,6.797490358352661
scenario4\map_1.txt,1180.5807358037443,158.8406204335659,119.59797974644661,1459.0193359837576,5.850091407678248,4,6.736051559448242
scenario4\map_1.txt,1180.5807358037443,125.1837661840735,85.94112549695424,1391.7056274847725,5.850091407678248,3,6.437220335006714

scenario5\map_1.txt,1180.5807358037443,306.26702730475915,267.0243866176397,1753.872149726144,5.850091407678248,8,8.09720253944397
scenario5\map_2.txt,924.0954544295056,277.16147160748784,229.87720036002568,1431.134126397021,5.737704918032782,6,5.869637489318848
scenario5\map_3.txt,973.8528137423864,98.35533905932733,97.35533905932733,1169.5634918610417,3.820960698689957,6,5.495040416717529
