test case,coverage length,retreat length,advance length,total length,overlap rate,number of return,time
cantwell,11193.356564548681,1399.0,1063.0,13655.356564548703,19.89159891598915,16,95.76334571838379
denmark,3607.818325856952,226.0,101.0,3934.8183258569516,12.001246882793026,5,8.339314937591553
eastville,10774.160605055775,1074.0,972.0,12820.160605055786,18.087226034978965,15,109.67565655708313
edgemere,2911.355339059328,288.0,154.0,3353.355339059328,2.7368421052631486,4,6.056694984436035
elmira,3682.634559672885,233.0,125.0,4040.6345596728843,9.34802024412027,5,8.979004383087158
eudora,3197.173664916286,190.0,129.0,3516.1736649162854,14.187725631768956,4,6.955719947814941
greigsville,4451.055915910199,276.0,161.0,4888.055915910203,13.585002568053417,7,14.388916254043579
mosquito,23718.55584157211,4019.0,3508.0,31245.55584157211,21.58318193615365,33,901.8919019699097
pablo,3589.4924240491655,319.0,218.0,4126.492424049161,9.221374045801522,5,9.244564771652222
ribera,5080.546247918317,449.0,356.0,5885.546247918322,8.587376556462,9,18.98215365409851
sands1,5661.3036072312425,498.0,350.0,6509.3036072312425,6.072034697341122,9,22.368229627609253
sands2,5865.048773235296,476.0,253.0,6594.048773235296,6.876371616678867,8,21.356515169143677
scioto1,9148.180807591294,1204.0,918.0,11270.180807591294,10.658726300437538,14,71.9000015258789
scioto2,10174.584919885889,1100.0,825.0,12099.584919885896,11.64155959237927,14,80.06102132797241
sisters1,4378.86500705119,390.0,281.0,5049.865007051198,4.14878397711016,7,12.373556852340698
swormville,6420.898628384868,585.0,335.0,7340.8986283848735,15.801972963098287,9,24.747111797332764
